country,Region,Surface area,Population,"Population density","Sex ratio",GDP,"GDP growth rate",Economy,Agricultural,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"current accoun",Population growth rate,Urban population,Urban population growth rate,age distribution
Montserrat,Caribbean,103,5,51.8,106,59,0.4,1.4,103,103,4,36,-32,-27,0.7,9,0.7,19.7/19.6
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,13.7,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,27.4/10.7
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,24.6,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,44.8/4.8
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,26.7,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,26.8/9.4
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,6.6,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,36.7/5.5
Nauru,Micronesia,21,11,568,101.9,189,18.7,3,112,112,-99,-99,-99,-99,2.3,100,0.2,39.5/4.0
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,31.8,139,139,703,5249,-4547,2447,1.2,18.6,3.2,30.9/8.8
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,1.8,115,115,511714,420969,90745,65129,0.3,90.5,1,16.4/25.0
New Caledonia,Melanesia,18575,276,15.1,101.5,8937,3.2,1.4,102,103,1344,2422,-1079,-1469,1.4,70.2,2.2,22.5/14.2
New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,6.5,116,118,33833,36423,-2589,-5501,1.1,86.3,1,19.8/20.8
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,18.8,130,130,2225,5927,-3701,-1045,1.2,58.8,2,29.0/8.4
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,39.6,148,148,927,1861,-933,-1150,3.8,18.7,5.1,50.2/4.2
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,20.9,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,44.0/4.5
Niue,Polynesia,260,2,6.2,100,-99,-99,-99,101,101,-99,-99,-99,-99,-0.1,42.5,-0.9,22.8/20.1
Northern Mariana Islands,Micronesia,457,55,119.9,107.1,-99,-99,-99,-99,-99,1735,4553,-2818,-99,0.1,89.2,0.4,23.5/10.0
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,1.8,103,104,89120,72473,16647,33746,1.2,80.5,1.3,17.8/22.3
Oman,WesternAsia,309500,4636,15,192.8,69832,5.7,1.5,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,21.8/4.0
